filepath,label
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_0.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_1.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_2.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_3.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_4.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_5.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_6.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_7.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_8.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_9.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_10.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_11.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_12.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_13.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_14.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_15.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_16.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_17.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_18.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_19.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_20.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_21.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_22.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_23.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_24.jpg,A
/content/drive/MyDrive/BISINDO/Datasets/bisindo-augmented/A/body dot (1)_aug_25.jpg,A
